Recipe_ID,Dish Name,Original Ingredient,Category,Quantity,Unit (Original),Standardised Ingredient,Unit (Standardised)
1,Tindora/Kovakkai Fry,"0.17 g, Garam Masala Powder",Spices (Powder),0.17,g,Garam Masala Powder,g
1,Tindora/Kovakkai Fry,"630 gm, Ivy Gourd/Tindora/Tinda",Vegetables,630,gm,Ivy Gourd/Tindora/Tinda,g
1,Tindora/Kovakkai Fry,"3 g, Amchur Powder - Dry Mango Powder",Spices (Powder),3,g,Amchur Powder - Dry Mango Powder,g
1,Tindora/Kovakkai Fry,"1 tsp(s), turmeric powder",Spices (Powder),1,tsp,Turmeric Powder,tsp
1,Tindora/Kovakkai Fry,"1 tsp, whole, Spices, fennel seed",Spices (Whole/Seeds),1,tsp,Fennel Seed,tsp
1,Tindora/Kovakkai Fry,"0.06 tsp, Asafoetida Powder - (Hing Spice)",Spices (Powder),0.06,tsp,Asafoetida Powder (Hing),tsp
1,Tindora/Kovakkai Fry,"2 tbsp, Cilantro",Fresh Aromatics,2,tbsp,Cilantro,tbsp
1,Tindora/Kovakkai Fry,"3 tsp(s), Vegetable Oil (100% Rapeseed Oil) With Omega 3",Oils/Fats,3,tsp,Rapeseed Oil,tsp
1,Tindora/Kovakkai Fry,"0.33 g, Coriander Cumin Powder",Spices (Powder),0.33,g,Coriander Cumin Powder,g
1,Tindora/Kovakkai Fry,"1 tsp, Cumin",Spices (Powder),1,tsp,Cumin,tsp
1,Tindora/Kovakkai Fry,"1 tsp(s), organic kashmiri chilli powder",Spices (Powder),1,tsp,Organic Kashmiri Chilli Powder,tsp
1,Tindora/Kovakkai Fry,"0.75 tsp, Salt",Salt/Seasonings,0.75,tsp,Salt,tsp
2,Aaloo Mattar,"200 g, Garden Peas (Frozen Weight)",Vegetables,200,g,Garden Peas,g
2,Aaloo Mattar,"1 tsp(s), Garam Masala",Spices (Powder),1,tsp,Garam Masala,tsp
2,Aaloo Mattar,"0.20 kg, Tomatoes",Vegetables,0.2,kg,Tomatoes,kg
2,Aaloo Mattar,"7.50 g, Green Chillies",Vegetables,7.5,g,Green Chillies,g
2,Aaloo Mattar,"100 grams, Onion",Vegetables,100,grams,Onion,g
2,Aaloo Mattar,"0.50 tsp(s), Spices, turmeric, ground",Spices (Powder),0.5,tsp,Ground Turmeric,tsp
2,Aaloo Mattar,"15 g, Ginger root - Raw",Fresh Aromatics,15,g,Fresh Ginger,g
2,Aaloo Mattar,"1 tsp(s), Vegetable Oil (100% Rapeseed Oil) With Omega 3",Oils/Fats,1,tsp,Rapeseed Oil,tsp
2,Aaloo Mattar,"0.49 kg, Potato",Vegetables,0.49,kg,Potato,kg
2,Aaloo Mattar,"1 tbsp(s), Chopped",Other,1,tbsp,Chopped,tbsp
