Recipe_ID,Source,Cuisine,Sub-Category,Dish Name,Servings,Calories per Serving,Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Image URL,Item Page Link
43,Rishi,Western,Dessert,Lotus Custard Crumb,1,135,8,5,2,0,0,0,28,0,13,0,9,2,/images/recipes/lotus-custard.jpg,https://www.myfitnesspal.com/recipe/view/159446268243453
29,Rishi,Western,Side,Chipppppies,2,168,3,0,1,1,0,0,607,1033,25,6,0,7,/images/recipes/chips.jpg,https://www.myfitnesspal.com/recipe/view/238602507186157
22,Rishi,Sri Lankan,Curry,Kolamba's polos (young jackfruit curry),4,228,10,4,2,1,0,0,762,635,24,7,6,4,/images/recipes/jackfruit-curry.jpg,https://www.myfitnesspal.com/recipe/view/270374519229949
27,Rishi,Mexican,,Corn Tacos,4,129,5,1,1,0,0,0,73,0,22,0,0,2,/images/recipes/corn-tacos.jpg,https://www.myfitnesspal.com/recipe/view/203845355252973
2,Rishi,Indian,Curry,Aaloo Mattar,4,144,2,0,1,0,0,0,444,752,18,7,5,7,/images/recipes/aloo-matar.jpg,https://www.myfitnesspal.com/recipe/view/168508394499693
7,Marion,Indian,Curry,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,6,287,13,4,5,1,0,0,790,838,19,8,8,16,/images/recipes/stuffed-aubergines.jpg,https://www.myfitnesspal.com/recipe/view/164821261528301
11,Rishi,Indian,Curry,south indian mushroom peas curry,6,127,7,0,2,1,0,0,408,454,7,4,5,6,/images/recipes/mushroom-peas.jpg,https://www.myfitnesspal.com/recipe/view/273932803329085
8,Rishi,Indian,Dal,Brinjal Sambar,8,138,2,0,1,1,0,0,329,49,14,7,3,8,/images/recipes/brinjal-sambar.jpg,https://www.myfitnesspal.com/recipe/view/279018132729645
9,Rishi,Indian,Dal,Dal - Chana,3,173,4,0,1,0,0,0,386,53,21,5,1,9,/images/recipes/chana-dal.jpg,https://www.myfitnesspal.com/recipe/view/278322105732349
14,Rishi,Indian,Dal,Dal - Maash Chole,2,165,5,2,0,0,0,10,633,247,19,3,2,8,/images/recipes/maash-chole.jpg,https://www.myfitnesspal.com/recipe/view/172930314964013
54,Rishi,Indian,Rice,Biryani,6,299,6,2,1,1,0,0,688,326,43,7,8,8,/images/recipes/veg-biryani.jpg,https://www.myfitnesspal.com/recipe/view/278740747611325
31,Rishi,Indian,Rice,Kathal biryani,4,370,13,2,4,2,0,0,869,717,43,8,5,9,/images/recipes/masala-papad.jpg,https://www.myfitnesspal.com/recipe/view/173336050912317
39,Rishi,Indian,Rice,Khichadi - Moong Chilka,4,364,3,0,1,0,0,0,570,77,66,4,3,14,/images/recipes/green-moong-dal-khichdi.jpg,https://www.myfitnesspal.com/recipe/view/243275172450285
28,Rishi,Indian,Rice,Vangi Bath,4,342,8,1,1,1,0,0,589,59,51,5,3,9,/images/recipes/vangi-bath.jpg,https://www.myfitnesspal.com/recipe/view/207813912489005
10,Rishi,Indian,Sabzi,Aloo Gajar,5,83,2,0,0,0,0,0,112,349,10,5,3,2,/images/recipes/aloo-gajar.jpg,https://www.myfitnesspal.com/recipe/view/265555449605293
5,Rishi,Indian,Sabzi,Arbi Sabzi,6,213,3,0,1,1,0,0,523,1019,37,7,2,3,/images/recipes/arbi-sabzi.jpg,https://www.myfitnesspal.com/recipe/view/230493646499629
30,Rishi,Indian,Sabzi,Bhindi,4,114,5,1,2,1,0,0,444,162,2,9,8,6,/images/recipes/bhindi-masala.jpg,https://www.myfitnesspal.com/recipe/view/163996815462013
26,Rishi,Indian,Sabzi,Bombay Pav Bhaji,4,174,7,2,1,1,0,8,770,738,17,7,8,7,/images/recipes/pav-bhaji.jpg,https://www.myfitnesspal.com/recipe/view/230519240199725
38,Rishi,Indian,Sabzi,Cabbage Upkari,6,129,4,0,1,0,0,0,726,212,8,7,7,7,/images/recipes/cabbage-upkari.jpg,https://www.myfitnesspal.com/recipe/view/238885870193773
45,Rishi,Indian,Sabzi,Kadai Paneer (Restaurant Style),4,176,8,3,1,1,0,1,615,402,11,3,7,15,/images/recipes/kadai-paneer.jpg,https://www.myfitnesspal.com/recipe/view/199035125116733
52,Rishi,Indian,Sabzi,Karela fry,4,145,11,1,2,1,0,0,1184,269,8,2,2,1,/images/recipes/karela-sabzi.jpg,https://www.myfitnesspal.com/recipe/view/164658198351037
33,Rishi,Indian,Sabzi,Lauki Chana Dal,4,136,3,1,1,1,0,0,736,179,7,9,3,6,/images/recipes/lauki-chana-dal.jpg,https://www.myfitnesspal.com/recipe/view/278468418776109
4,Rishi,Indian,Sabzi,Sabzi - Karela,4,92,4,0,2,1,0,0,589,27,4,5,2,2,/images/recipes/karela-sabzi.jpg,https://www.myfitnesspal.com/recipe/view/269670157159549
16,Rishi,Indian,Sabzi,Sarson ka Saag,4,127,4,0,2,1,0,0,654,841,14,6,5,5,/images/recipes/sarson-saag.jpg,https://www.myfitnesspal.com/recipe/view/159712430444221
18,Rishi,Indian,Sabzi,Shlalgam Bharta,8,87,2,0,1,1,0,0,686,424,10,5,9,3,/images/recipes/shalgam-bharta.jpg,https://www.myfitnesspal.com/recipe/view/204122409938285
1,Rishi,Indian,Sabzi,Tindora/Kovakkai Fry,4,91,4,0,2,1,0,0,440,21,3,5,0,6,/images/recipes/tindora-fry.jpg,https://www.myfitnesspal.com/recipe/view/160011078512173
37,Rishi,Indian,Side,Boondi Raita,2,150,8,2,0,0,0,0,117,9,12,0,5,6,/images/recipes/Boondi-Raita.jpg,https://www.myfitnesspal.com/recipe/view/159600741363261
23,Rishi,Indian,Side,Onion Pakora,8,76,4,0,2,1,0,0,166,0,5,1,0,2,/images/recipes/onion-pakora.jpg,https://www.myfitnesspal.com/recipe/view/203441619930989
24,Rishi,Indian,Side,Potato Masala (for Dosa),8,60,1,0,1,0,0,0,297,246,8,2,1,2,/images/recipes/potato-masala.jpg,https://www.myfitnesspal.com/recipe/view/243831504047405
51,Rishi,Indian,Snacks,Masala Papad,1,48,0,0,0,0,0,0,3,131,8,1,2,1,/images/recipes/masala-papad.jpg,https://www.myfitnesspal.com/recipe/view/164383198834621
49,Rishi,Cocktails,Drinks,Aperol Spritz,1,202,0,0,0,0,0,0,23,73,5,0,5,0,/images/recipes/aperol-spritz.jpg,https://www.myfitnesspal.com/recipe/view/195609913929261
20,Rishi,Cocktails,Drinks,Cocktail: Bitter Jean,1,203,0,0,0,0,0,0,0,0,13,0,11,0,/images/recipes/bitter-jean.jpg,https://www.myfitnesspal.com/recipe/view/238765565857213
46,Rishi,Cocktails,Drinks,Cocktail: Bourbon Old Fashioned,1,142,0,0,0,0,0,0,0,0,4,0,4,0,/images/recipes/old-fashioned.jpg,https://www.myfitnesspal.com/recipe/view/199312129551533
34,Rishi,Cocktails,Drinks,Cocktail: Cucumber Martini,1,180,0,0,0,0,0,0,1,38,9,0,8,0,/images/recipes/Cucumber-Martini.jpg,https://www.myfitnesspal.com/recipe/view/207839683276605
17,Rishi,Cocktails,Drinks,Cocktail: Cynar Rum Negroni,1,129,0,0,0,0,0,0,8,0,4,0,3,0,/images/recipes/cynar-negroni.jpg,https://www.myfitnesspal.com/recipe/view/173608949206189
35,Rishi,Cocktails,Drinks,Cocktail: Daiquiri No.1 Natural (Embury's 8-2-1),1,177,0,0,0,0,0,0,0,0,9,0,0,0,/images/recipes/daiquiri.jpeg,https://www.myfitnesspal.com/recipe/view/278476875467885
21,Rishi,Cocktails,Drinks,Cocktail: Fogerty,1,171,0,0,0,0,0,0,0,0,6,0,6,0,/images/recipes/fogerty.jpg,https://www.myfitnesspal.com/recipe/view/168944455159613
13,Rishi,Cocktails,Drinks,Cocktail: Hunter's Verdict,1,177,0,0,0,0,0,0,13,0,16,0,4,0,/images/recipes/hunters-verdict.jpg,https://www.myfitnesspal.com/recipe/view/278474866486509
